Key,Value
confirmRemove2,(она будет удалена без возможности восстановления)
confirmFindHead,Путешествие к месту
confirmFind,"Вы хотите открыть карту мира, чтобы отправиться в:"
confirmFind2,(Примечание: вы сможете отказаться от путешествия на карте мира)
enterNote,Напиши свою заметку:
completedQuest,завершён
endedQuest,закончен
finishQuestHeader,{0} ({1}: {2}):
quest,Задание
noteHeader,{0} в {1}:
houseDeed,Вы получили документы и теперь владеете домом в городе %town в %region.
levelProgress,Прогресс до следующего уровня: {0}%
readMap,Обнаружено местоположение %map после изучения карты.
readMapTG,Гильдия Воров раскрыла местонахождение тщательно охраняемой сокровищницы под названием %map.
readMapDB,"Тёмное Братство раскрыло секрет некоторых склепов с сокровищами, расположенных где-то в месте под названием %map."
readMapFail,"Вам уже известно место, указанное на этой карте."
howManyItems,Сколько раз (макс {0})?
wagonFullGold,В вашей повозке может поместиться только {0} золотых монет.
itemsIdentified,Предметы идентифицированы.
repairDone,Готово
repairDays,%d дней
interruptRepair,Забрать предмет до его ремонта?
repairNote,Оставил {0} на ремонт в {1}.
doesntNeedIdentify,Это не требует идентификации.
goldAmount,{0} золотых
goldWeight,Вес: {0} кг
letterOfCredit,Вы получаете оплату по аккредитиву.
stealSuccess,Вы успешны.
stealFailure,Вы не достигли успеха...
cannotRemoveItem,Вы не можете снять этот предмет.
cannotCarryAnymore,Вы не можете унести больше вещей.
cannotHoldAnymore,Ваша тележка уже не может вместить больше вещей.
cannotUseThis,Вы не можете использовать это.
equippingWeapon,Экипировано: %s
lightDouse,Вы потушили %it.
lightLight,Вы зажигаете %it.
lightDies,Ваш %it мерцает и гаснет.
lightEmpty,У вашего %it не осталось топлива.
lightRefuel,Вы заправляешь свой %it бутылкой масла.
lightFull,Ваш %it заполнен.
kgSrc,кг
kgRep,кг
damSrc,очки ущерба
damRep,урон
arSrc,рейтинг брони
arRep,броня
northern,с севера
southern,с юга
noWagon,У вас нет повозки.
exitTooFar,"Выход находится слишком далеко, чтобы вы могли добраться до своей повозки."
bookUnavailable,Книга испорчена и теперь нечитабельна.
unknownAuthor,неизвестный автор
cannotDeleteVamp,Невозможно удалить специальные заклинания вампиров.
cannotDeleteWere,Невозможно удалить специальное заклинание ликантропии.
noRecipes,У вас нет рецептов.
potionMixed,Ваше зелье было приготовлено.
potionFailed,Из этих ингредиентов не получилось эффективного зелья.
reqIngredients,У вас нет нужных ингредиентов.
region,Регион
account,Счёт
loan,Займ
dueDate,Срок погашения
noAccount,Нет аккаунта
loanReminder,"У вас есть займ в размере {0} золотых монет, подлежащий выплате "
loanReminder2,через {0} месяцев в {1}
classicIcons,Классика
suggestedIcons,Предложенные
serviceMembersOnly,Мои услуги предназначены только для членов организации.
serviceDonateHowMuch,"Сколько денег пожертвовать: "
curedDisease,Вы вылечились.
freeHolidayCuring,Вы лечитесь бесплатно благодаря сегодняшнему празднику.
gettingQuests1,"Хм, давайте я посмотрю, какие задания у нас есть."
gettingQuests2,"Пожалуйста, наберитесь терпения и подождите немного, %pcf."
illegalRestWarning,Разбивать лагерь в городе или рядом с ним незаконно. Продолжать?
cannotLoiterMoreThanXHours1,"Вы не можете бездельничать больше "
cannotLoiterMoreThanXHours2,чем {0} часов подряд.
automapToolTipTextGridButton,Левый щелчок: переключение между 2D видом сверху и 3D видом (горячая клавиша: {0})\rправый щелчок: возврат оси вращения в положение игрока (горячая клавиша: {1})\rколесо мыши вверх при наведении на кнопку: увеличение перспективы (только 3D режим)\rколесо мыши вниз при наведении на кнопку: уменьшение перспективы (только 3D режим)
automapToolTipForwardButton,Левый щелчок: перемещение точки обзора вперед (горячая клавиша: {0})\rправый щелчок: перемещение оси вращения вперед (горячая клавиша: {1})
automapToolTipBackwardButton,Левый щелчок: перемещение точки обзора назад (горячая клавиша: {0})\rправый щелчок: перемещение оси вращения назад (горячая клавиша: {1})
automapToolTipLeftButton,Левый щелчок: перемещение точки обзора влево (горячая клавиша: {0})\rправый щелчок: перемещение оси вращения влево (горячая клавиша: {1})
automapToolTipRightButton,Левый щелчок: перемещение точки обзора вправо (горячая клавиша: {0})\rправый щелчок: перемещение оси вращения вправо (горячая клавиша: {1})
automapToolTipRotateLeftButton,щелчок левой кнопкой мыши: повернуть подземелье влево (горячая клавиша: {0})\rщелчок правой кнопкой мыши: повернуть камеру влево (горячая клавиша: {1})
automapToolTipRotateRightButton,левый щелчок: повернуть подземелье вправо (горячая клавиша: {0})\rправый щелчок: повернуть камеру вправо (горячая клавиша: {1})
automapToolTipUpstairsButton,Щелчок левой кнопкой мыши: увеличение точки обзора (горячая клавиша: {0})\r Щелчок правой кнопкой мыши: увеличение уровня фрагмента (горячая клавиша: {1})\r Уровень фрагмента можно также регулировать, удерживая среднюю кнопку мыши\r\r Подсказка: различные режимы рендеринга могут показывать скрытую геометрию:\r горячая клавиша {2}: режим вырезания\r горячая клавиша {3}: режим каркаса\r горячая клавиша {4}: прозрачный режим\r переключение между режимами осуществляется клавишей return\r
automapToolTipDownstairsButton,Щелчок левой кнопкой мыши: уменьшение точки обзора (горячая клавиша: {0})\r Щелчок правой кнопкой мыши: уменьшение уровня фрагмента (горячая клавиша: {1})\r Уровень фрагмента можно также регулировать, удерживая среднюю кнопку мыши\r\r Подсказка: различные режимы рендеринга могут показывать скрытую геометрию:\r горячая клавиша {2}: режим вырезания\r горячая клавиша {3}: режим каркаса\r горячая клавиша {4}: прозрачный режим\r переключение между режимами осуществляется клавишей return\r
automapToolTipPanelCompass,"Левый клик: переключить фокус (горячая клавиша: {0})\r маячки: красный ... игрок, зеленый ... вход, синий ... ось вращения \r\r правый щелчок: сбросить вид (горячая клавиша: {1})\r\r двойной щелчок левой кнопкой мыши в окне для создания+редактирования заметки маркера \r двойной щелчок левой кнопкой мыши (+Ctrl) в окне для создания маркера \r двойной щелчок левой кнопкой мыши на маркере для добавления/редактирования заметки \r двойной щелчок правой кнопкой мыши на маркере для его удаления \r двойной щелчок правой кнопкой мыши в окне для позиционирования оси вращения \r двойной щелчок средней кнопкой мыши в окне для центрирования вида \r двойной щелчок левой кнопкой мыши на маркере обнаруженного портала для перехода \r к подключенному порталу-телепортеру"
automapPlayerPositionBeacon,маяк положения игрока
automapRotationPivotAxis,ось вращения
automapEntranceExitPositionBeacon,маяк положения входа/выхода
automapEntranceExit,вход/выход
automapPlayerMarker,маркер игрока
automapTeleporterEntrance,телепорт (вход)
automapTeleporterExit,телепорт (выход)
exteriorAutomapBuildingTypeAlchemist,Алхимик
exteriorAutomapBuildingTypeArmorer,Оружейник
exteriorAutomapBuildingTypeBank,Банк
exteriorAutomapBuildingTypeBookseller,Книготорговец
exteriorAutomapBuildingTypeClothingStore,Магазин одежды
exteriorAutomapBuildingTypeFurnitureStore,Мебельный магазин
exteriorAutomapBuildingTypeGemStore,Ювелирный магазин
exteriorAutomapBuildingTypeGeneralStore,Магазин
exteriorAutomapBuildingTypeGuildHall,Зал гильдии
exteriorAutomapBuildingTypeHouseForSale,Дом на продажу
exteriorAutomapBuildingTypeLibrary,Библиотека
exteriorAutomapBuildingTypePalace,Дворец
exteriorAutomapBuildingTypePawnShop,Ломбард
exteriorAutomapBuildingTypeTavern,Таверна
exteriorAutomapBuildingTypeTemple,Храм
exteriorAutomapBuildingTypeWeaponSmith,Кузница
exteriorAutomapBuildingTypeUnknown,Неизвестно
exteriorAutomapToolTipTextGridButton,"щелчок левой кнопкой мыши: переключение на следующий режим просмотра (горячая клавиша: {0})\r доступные режимы просмотра: \r- оригинальный (горячая клавиша {1})\r- дополнительный: включает дополнительные здания (горячая клавиша {2})\r- все: включает дополнительные здания, наземные квартиры (горячая клавиша {3})\r- переключение текстуры фона с помощью {4}, {5}, {6}, {7}"
exteriorAutomapToolTipForwardButton,Щелчок левой кнопкой мыши: перемещение вверх (горячая клавиша: {0})\r Щелчок правой кнопкой мыши: перемещение к северной границе расположения (горячая клавиша: {1})
exteriorAutomapToolTipBackwardButton,Щелчок левой кнопкой мыши: перемещение вниз (горячая клавиша: {0})\r Щелчок правой кнопкой мыши: перемещение к южной границе расположения (горячая клавиша: {1})
exteriorAutomapToolTipLeftButton,Щелчок левой кнопкой мыши: перемещение влево (горячая клавиша: {0})\r Щелчок правой кнопкой мыши: перемещение к западной границе расположения (горячая клавиша: {1})
exteriorAutomapToolTipRightButton,Щелчок левой кнопкой мыши: перемещение вправо (горячая клавиша: {0})\r Щелчок правой кнопкой мыши: перемещение к восточной границе расположения (горячая клавиша: {1})
exteriorAutomapToolTipRotateLeftButton,Щелчок левой кнопкой мыши: поворот карты влево (горячая клавиша: {0})\r Щелчок правой кнопкой мыши: поворот карты вокруг позиции игрока\r влево (горячая клавиша: {1})
exteriorAutomapToolTipRotateRightButton,Левый щелчок: поворот карты вправо (горячая клавиша: {0})\r Правый щелчок: поворот карты вокруг позиции игрока\r вправо (горячая клавиша: {1})
exteriorAutomapToolTipUpstairsButton,Щелчок левой кнопкой мыши: увеличение масштаба (горячая клавиша: {0}\r Щелчок правой кнопкой мыши: применение максимального масштаба)
exteriorAutomapToolTipDownstairsButton,Щелчок левой кнопкой мыши: уменьшить масштаб (горячая клавиша: {0}\r Щелчок правой кнопкой мыши: применить минимальный масштаб)
exteriorAutomapToolTipPanelCompass,Левый щелчок: фокусировка позиции игрока (горячая клавиша: {0})\r правый щелчок: сброс вида (горячая клавиша: {1})
loading,"Пожалуйста, подожди..."
classicSave,Классика
cancel,Отмена
renameSave,Переимен.
deleteSave,Удалить
switchChar,Персонаж
savePrompt,Сохранить игру
loadPrompt,Загрузить игру
saveButton,Сохранить
loadButton,Загрузить
enterSaveName,Введите имя сохранения
selectSaveName,Выберите сохранение
confirmDeleteSave,"Уверены, что хотите удалить сохранение?"
confirmOverwriteSave,Перезаписать это сохранение?
youMustEnterASaveName,Вы должны ввести имя сохранения.
youMustSelectASaveName,Вы должны выбрать имя сохранения.
noSavesFound,Сохранения не найдены. Загрузить классическое сохранение?
cannotSaveNow,Вы не можете сохраниться сейчас.
addEffect,Добавить эффект
buySpell,Купить заклинание
newSpell,Новое заклинание
exit,Выход
casterOnly,На себя
byTouch,Прикосновение
singleTargetAtRange,Одиночная цель на расстоянии
areaAroundCaster,Область вокруг себя
areaAtRange,Область на расстоянии
fireBased,На основе огня
coldBased,На основе холода
poisonBased,На основе яда
shockBased,На основе шока
magicBased,На основе магии
selectIcon,Выбрать значок
nextIcon,Следующий значок
previousIcon,Предыдущий значок
nameSpell,Имя заклинания
enterSpellName,Введите имя заклинания:
noEffectsError,Вы должны добавить к этому заклинанию хотя бы один эффект.
deleteSpell,Вы хотите удалить это заклинание?
sortSpells,Вы хотите отсортировать заклинания?
effectNotFoundError,<эффект не найден>
noItemToActivate,У вас нет пригодного магического предмета
Akatosh,Акатош
Arkay,Аркей
Dibella,Дибелла
Julianos,Джулианос
Kynareth,Кинарет
Mara,Мара
Stendarr,Стендарр
Zenithar,Зенитар
removeKeybind,"Вы уверены, что хотите удалить привязку клавиш для {0} ({1})?"
nord,Норд
settingsNotApplied,"Примечание: Некоторые изменения могут не применяться до тех пор, пока вы не перезапустите игру."
doneButton,Готово
temple,храм
unknownPowers,Неизвестные силы
cannotBeRepaired,Это не подлежит ремонту.
youNeverAwaken,Вы больше не проснулись.
modSettings,Настройки модов
gameEffectsSettings,Настройки эффектов
antialiasing,Сглаживание
ambientOcclusion,Затенение
bloom,Свечение
motionBlur,Размытие движения
vignette,Виньетка
depthOfField,Глубина резкости
antialiasingTip,Придать более гладкий вид
enable,Включить
fxaa,FXAA
smaa,SMAA
taa,TAA
none,Нет
method,Метод
fxaaFastMode,Быстрый режим FXAA
low,Низкий
medium,Средний
high,Высокий
smaaQuality,SMAA Качество
taaSharpness,TAA Резкость
disabled,Отключено
setPageDefaults,По умолчанию
ambientOcclusionTip,Затемняет складки и отверстия
scalableAmbientObscurance,Масштабируемая затемненность
multiScaleVolumetricObscurance,Многомасштабная объемная затемненность
scalableAmbient,Масштабируемое окружение
multiScaleVolumetric,Многомасштабный объем
intensity,Интенсивность
lowest,Самый низкий
ultra,Ультра
radius,Радиус
quality,Качество
thickness,Толщина
bloomTip,Сделать светлые области светящимися
threshold,Порог
diffusion,Распространение
bloomFastMode,Быстрый режим блюра
motionBlurTip,"Симулирует объекты, двигающиеся быстрее камеры"
shutterAngle,Угол затвора
sampleCount,Количество выборок
vignetteTip,Затемнение к краям экрана
smoothness,Гладкость
roundness,Округлость
rounded,Округлый
depthOfFieldTip,Симулирует фокус камерного объектива
focusDistance,Фокусное расстояние
aperture,Диафрагма
focalLength,Фокусное расстояние
maxBlurSize,Максимальный размер размытия
small,Маленький
large,Большой
veryLarge,Очень большой
ditherTip,Применение шума для уменьшения цветовых полос
dither,Дизеринг
colorBoost,Буст цвета
colorBoostTip,Повышение яркости цветов вблизи камеры
dungeonScale,Масштаб подземелья
interiorScale,Масштаб интерьера
exteriorScale,Внешний масштаб
dungeonFalloff,Смещение подземелья
retroMode,Ретро-режим
retroModeTip,Рендеринг мира в более низких разрешениях
mode,Режим
retroModeOff,Выкл
retroMode320x200,320x200
retroMode640x400,640x400
off,Выкл
posterizationFull,Постеризация (полн)
posterizationMinusSky,Постеризация (без неба)
palettizationFull,Палеттизация (полн)
palettizationMinusSky,Палеттизация (без неба)
postProcess,Постобработка
retroModeAspectCorrection,Коррекция соотношения сторон
FourThree,4:3
SixteenTen,16:10
notEnoughSpellpointsLeft,У вас недостаточно очков заклинаний.
totalIdentified,{0} из {1} идентифицировано.
dispelMagicSuccess,Удалось рассеять магию...
dispelMagicFailed,Рассеять магию не получилось...
smallerDungeonsChanged,Изменение размеров подземелья при нахождении в нем. Перемещение игрока к выходу из подземелья.
youNote,"Вы отмечаете: "
customName,"Своё имя: "
StoresA,"%ef:
%cn: Наилучший
Необходимый
Лорд %ef:
Приключенческий
Странный
%ef: Хороший
Выгодный
Винтажный
Императорский
%cn:
%ef: Основной
Превосходный
%ef: Качественный
Первоклассный
%rt представляет:
Чемпионский
Сэр %ef:
Леди %ef:"
GeneralStoresB,"Выбор
Товар Для Дома
Механизм
Магазин Снаряжения
Набор Оборудования
Магазин Оборудования
Запас
Пункт Снабжения
Магазин Товаров
Универмаг
Универсам
Торговый Двор
Рынок
Магазин Керамики
Склад"
WeaponStoresB,"Оружейный Магазин
Магазин Вооружения
Магазин Оружейных Товаров
Образец Вооружения
Арсенал
Производитель Оружия
Выбор Клинков
Кузнец
Металлист
Оружейник"
ArmorStoresB,"Оружейный Склад
Выбор Кольчуги
Магазин Защиты
Выбор Брони
Выбор Щитов
Щит Эгиды
Мастер По Железу
Кузнец
Металлист
Оружейный Мастер
Молотобоец
Кузнечный Цех"
BookStoresB,"Книжный Ряд
Рынок Книг
Книжный Магазин
Книготорговец
Книжный Центр
Продавец Книг
Книжный Киоск
Магазин Антикварных Книг"
LibraryStoresB,"Библиотечный Пункт
Книжный Зал
Читальный Зал
Зал Публичной Библиотеки
Историк
Зал С Книгами
Семинариум
Лицей"
ClothingStoresB,"Одежный Магазин
Магазин Одеяний
Наряд
Магазин Готового Платья
Костюм
Магазин Облачений
Магазин Убранства
Магазин Модных Нарядов
Пошив Одежды
Выбор Экипировки
Магазин Украшений"
AlchemyStoresB,"Выбор Трав
Магазин Зелени
Магазин Специй
Магазин Лечебных Средств
Выбор Противоядий
Доктор
Магазин Медикаментов
Магазин Зелий
Выбор Настоек
Магазин Лекарственных Средств
Выбор Эликсиров
Аптечный Пункт
Аптекарь
Выбор Мазей
Магазин Лекарств
Травяной Сад
Магазин Для Фармацевтов
Химический Набор
Химикат
Эксперимент
Алхимик
Алхимический Раствор
Металлург"
GemStoresB,"Минерал
Самоцвет
Ювелирный Салон
Прибамбас
Драгоценный Камень
Магазин Бижутерии
Ювелир
Сундучок
Ювелирный Магазин
Огранщик"
PawnStoresB,"Ломбард
Ростовщик
Блошиный Рынок
Базар
Развал
Секонд-Хенд
Залог
Антиквариат"
FurnitureStoresB,"Выбор Мебели
Мебельщик
Дизайнер
Магазин Мебели
Декор
Плотник
Столяр
Мастер
Дровосек"
LivestockStoresB,"Скотовод
Заводчик
Домашний Скот
Зверь
Зверек
Охотник
Животновод
Животный Мир
Зверинец"
TavernsA,"Королева и
Королевский
Грязный
Черный
Крот и
Зеленый
Красный
Золотой
Белый
Серебряный
Малиновый
Летающий
Танцующий
Смеющийся
Беспокойный
Жаждущий
Несчастный
Счастливый
Дьявольский
Ржавый
Воющий
Кричащий
Летучая Мышь и
Лев и
Рысь и
Гном и
Бобр и
Лиса и
Мышь и
Свинья и
Перо и
Жаба и
Крыса и
Дикий
Плут и
Мертвый"
TavernsB,"Утес
Кувшин
Грот
Кот
Пёс
Гоблин
Грифон
Дракон
Людоед
Гигант
Джинн
Волк
Егерь
Кинжал
Череп
Меч
Страж
Погреб
Шлем
Замок
Кубок
Орёл
Гном
Ёж
Мушкет
Сурок
Скорпион
Барсук
Козёл
Дикобраз
Жрец
Олененок
Олень
Варвар
Плут
Герой"
houseForSale,Дом на продажу
theBankOf,Банк
daggerfall,Даггерфолл
wayrest,Вэйрест
sentinel,Сентинел
palace,Дворец
regionNames,"Пустыня Алик'р
Горы Драконьего Хвоста
Предгорья Гленпойнта
Утесы Даггерфолла
Йеорт Бурроуленд
Двиннен
Равеннский лес
Девилрок
Малекнский лес
Остров Балфиера
Банта
Дак'фрон
Острова в Западной Илиакской бухте
Тамарилин Пойнт
Скалы Лейнлин
Река Бьюлсае
Вротгарианские горы
Даггерфолл
Гленпойнт
Бетония
Сентинел
Антиклер
Лэйнлин
Вэйрест
Деревня Ген Тем Хай Рок
Деревня Ген Рай Хаммерфелл
Район Орсиниум
Скеффингтонский лес
Побережье залива Хаммерфелл
Побережье Хаммерфелла
Побережье залива Хай-Рок
Морское побережье Хай-Рок
Нортмур
Меневия
Алькайр
Коэгрия
Бхориане
Камбрия
Фригия
Урвай
Икалон
Даэния
Шалгора
Абибон-Гора
Кайру
Потаго
Мыркваса
Аясофья
Тигонус
Козансет
Сатакалаам
Тотамбу
Мурнот
Эфес
Сантаки
Антифилос
Бергама
Гаводон
Тулун
Болота Гленумбры
Илессанские холмы
Кибиады"
ocean,Океан
unknownUpper,Неизвестно
switchToRegion,Переключить на: {0} Регион
locationInRegionProvince,{0} в провинции {1}
dayNames,"Сандас
Морндас
Тирдас
Миддас
Турдас
Фредас
Лордас"
monthNames,"Утренней звезды
Восхода солнца
Первого зерна
Руки дождя
Руки дождя
Середины года
Высокого солнца
Последнего зерна
Огня очага
Начала морозов
Заката солнца
Вечерней звезды"
birthSignNames,"Ритуал
Любовник
Лорд
Маг
Тень
Конь
Ученик
Воин
Леди
Башня
Атронах
Вор"
seasonNames,"Осень
Весна
Лето
Зима"
longDateTimeFormatString,"{0:00}:{1:00}:{2:00}, {3}, {4}е {6:00}, 3Э {7}"
dateTimeFormatString,"{0:00}:{1:00}:{2:00}, {3}е {5:00}, 3Э {6}"
dateFormatString,"{0}, {1}е {3:00}"
ingredientFormatString,{0} {1}
longWeaponNameFormatString,{1} ({0})
longArmorNameFormatString,{1} ({0})
strRatings,"жалкий
хрупкий
слабый
ниже среднего
примерно средний
довольно сильный
спортивный
очень сильный
мощный
сверхчеловек"
intRatings,"овощ
идиот
полуумный
тупой
средний
хитрый
довольно умный
очень умный
гениальный
гений"
wilRatings,"безвольный
покорный
пассивный
отвлеченный
безапелляционный
стабильный
уверенный
волевой
очень сосредоточенный
просветленный"
agiRatings,"увалень
неуклюжий
неповоротливый
неловкий
средний
ловкий
проворный
гибкий
очень ловкий
акробат"
endRatings,"больной
плачевный
непостоянный
неустойчивый
около среднего
выше среднего
очень здоровый
выносливый
титанический
бессмертный"
perRatings,"отвратительный
непопулярный
анонимный
непритязательный
непримечательный
интересный
очаровательный
интересный
авторитетный
харизматичный"
spdRatings,"неактивный
вялый
очень медленный
медленный
около среднего
выше среднего
быстрый
быстроногий
молниеносный
метеоритный"
lucRatings,"проклятый
безнадежный
неблагоприятный
несчастный
примерно средний
довольно удачливый
удачливый
счастливый
очень удачный
любимец богов"
Mage,Маг
Spellsword,Заклинатель
Battlemage,Боевой маг
Sorcerer,Колдун
Healer,Целитель
Nightblade,Ночной клинок
Bard,Бард
Burglar,Взломщик
Rogue,Бродяга
Acrobat,Акробат
Thief,Вор
Assassin,Ассасин
Monk,Монах
Archer,Лучник
Ranger,Рейнджер
Barbarian,Варвар
Warrior,Воин
Knight,Рыцарь
Custom,Приключенец
darkBrotherhoodRanks,"Ученик
Подмастерье
Оператор
Убийца
Палач
Каратель
Терминатор
Ассасин
Темный Брат
Мастер-Ассасин"
fightersRanks,"Ученик
Подмастерье
Мечник
Защитник
Оборонитель
Страж
Хранитель
Чемпион
Воин
Мастер"
knightlyOrderRanks,"Аспирант
Оруженосец
Галант
Шевалье
Хранитель
Рыцарь-брат
Командир
Маршал
Сенешаль
Паладин"
magesRanks,"Ученик
Подмастерье
Призыватель
Колдун
Маг
Чародей
Ведьмак
Волшебник
Главный Волшебник
Архимаг"
templeRanks,"Новичок
Посвященный
Аколит
Адепт
Куратор
Ученик
Брат
Предсказатель
Мастер
Патриарх"
thievesRanks,"Ученик
Подмастерье
Воришка
Преступник
Грабитель
Бандит
Вор
Главарь
Организатор
Главный вор"
darkSister,Темная Сестра
nonMember,не член
knightSister,Рыцарская Сестра
matriarch,Матриарх
sister,Сестра
daedricSkill,Язык даэдра
orcishSkill,Язык орков
midDateTimeFormatString,{0:00}:{1:00}:{2:00} {3:00} {4:00} 3Э {5}
hthDamageFormatString,{0} урон: {1}-{2}
affiliationFormatString,{0} (реп:{1})
answers_5404,"лук
лук стрела
арбалет
луки
арбалеты"
answers_5406,"один
1"
answers_5423,"благотворитель
благодетель
спонсор
даритель
меценат"
answers_5424,"заткнись
замолчи
утихни
закрой рот"
answers_5464,"да
ну да
ок
я согласен
согласен
ага
хорошо
конечно
отлично
окей
не вопрос
угу"
random,Случайно
nordSurnameImmutableSuffix,сен
confirmDefaultControls,Сбросить управление на значения по-умолчанию?
saveLoadPromptFormat,{0}. Персонаж '{1}'
